Title,Date
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: A inimizade do meu inimigo","23/10/2016"
"Hora de Aventura: Temporada 4: Sonho de Amor","23/10/2016"
"Hora de Aventura: Temporada 4: Cinco Historinhas","23/10/2016"
"Hora de Aventura: Temporada 4: Quente Demais Parte 2","23/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: Os mestres da dominação do fogo","23/10/2016"
"The Flash: Temporada 2: De volta ao normal","23/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: O templo de Ar do Oeste","21/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: The Day of the Black Sun: Parte 2","20/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: The Day of the Black Sun: Parte 1","19/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: Pesadelos e devaneios","18/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Melinda","17/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: A manipuladora de fantoches","17/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Pós-vida","16/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: A fugitiva","16/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Uma porta se fecha","15/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: Avatar e o Senhor do Fogo","15/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Amor no tempo da Hidra","14/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: A praia","14/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Um de nós","13/10/2016"
"Walking with Dinosaurs: Sea Monsters: Mares perigosos","13/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Quem vocês são realmente","13/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: O mestre de Sokka","13/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Tremores","11/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: A dama pintada","11/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: A faixa de cabeça","10/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: No que se tornaram","09/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 3: O despertar","09/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Quem entrou aqui?","08/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Coisas que sepultamos","07/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: As encruzilhadas do destino","07/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Escrituras na parede","06/10/2016"
"Parker","06/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: O guru","06/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: O rei da Terra","04/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Uma casa despedaçada","03/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Lago Laogai","03/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Os dias perdidos do Appa","02/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Um cordeiro na casa do lobo","01/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: De cara com o inimigo","01/10/2016"
"Two and a Half Men: Temporada 6: Acima ciclopes exaltados","01/10/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: As histórias de Ba Sing Se","01/10/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Amizades e influências","30/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: A cidade de muros e segredos","30/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Traição","29/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Journey to Ba Sing Se: Parte 2: The Drill","29/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 2: Sombras","27/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Journey to Ba Sing Se: Parte 1: The Serpent's Pass","27/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: O deserto","26/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: A biblioteca","25/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Trabalho amargo","24/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: A caçada","23/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Zuko sozinho","22/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: A bandida cega","21/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: O começo do fim","20/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: O dia do avatar","20/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: O pântano","20/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: Retorno a Omashu","18/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: A caverna dos dois amantes","17/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 2: O estado avatar","16/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Gentalha","15/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Siege of the North: Parte 2","15/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Siege of the North: Parte 1","15/09/2016"
"Video Games: The Movie","14/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Episódio 20","13/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Episódio 19","12/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Waterbending Master","12/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Episódio 18","11/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Vira, vira, vira, virou!","10/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: O fim do começo","10/09/2016"
"Two and a Half Men: Temporada 6: Olá, eu sou Alan Cousteau","10/09/2016"
"Two and a Half Men: Temporada 6: A regra dos dois dedos","10/09/2016"
"Two and a Half Men: Temporada 6: O cabeção do meu filho","10/09/2016"
"Two and a Half Men: Temporada 6: O Ocu ou o Pado?","10/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Northern Air Temple","10/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Sim, senhor","09/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: T.A.H.I.T.I.","09/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Deserter","08/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: T.R.A.C.K.S.","08/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: Sementes","08/09/2016"
"Agentes S.H.I.E.L.D. da Marvel: O lugar mágico","07/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: Bato of the Water Tribe","07/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Fortune-Teller","06/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Blue Spirit","04/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Storm","03/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Great Divide","02/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: Jet","01/09/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Waterbending Scroll","31/08/2016"
"Agentes S.H.I.E.L.D. da Marvel: A ponte","30/08/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: Winter Solstice: Parte 2: Avatar Roku","30/08/2016"
"Agentes S.H.I.E.L.D. da Marvel: Reparos","29/08/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: Winter Solstice: Parte 1: The Spirit World","29/08/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: Imprisoned","28/08/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The King of Omashu","27/08/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Warriors of Kyoshi","26/08/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Southern Air Temple","25/08/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Avatar Returns: Parte 2","24/08/2016"
"Avatar - A lenda de Aang: Avatar - A lenda de Aang: Livro 1: The Boy in the Iceberg: The Avatar Returns: Parte 1","23/08/2016"
"Arrow: Temporada 3: Meu nome é Oliver Queen","26/07/2016"
"Arrow: Temporada 3: Esta é sua arma","25/07/2016"
"Arrow: Temporada 3: Al Sah-him","18/07/2016"
"Arrow: Temporada 3: Perdas","14/07/2016"
"Arrow: Temporada 3: Dois Arqueiros","13/07/2016"
"Arrow: Temporada 3: Inimigo público","12/07/2016"
"Truques da Mente: Temporada 2: Guerra dos Sexos","12/07/2016"
"Arrow: Temporada 3: Tendências suicidas","11/07/2016"
"Arrow: Temporada 3: A oferta","08/07/2016"
"Arrow: Temporada 3: Nanda Parbat","07/07/2016"
"Two and a Half Men: Temporada 6: Ela vai continuar morta no intervalo","06/07/2016"
"Two and a Half Men: Temporada 6: Eu quero começar pelo gato","06/07/2016"
"Arrow: Temporada 3: O regresso","06/07/2016"
"Arrow: Temporada 3: Canários","05/07/2016"
"Arrow: Temporada 3: Revolta","04/07/2016"
"Arrow: Temporada 3: Cidade da Meia-noite","01/07/2016"
"Arrow: Temporada 3: Deixado para trás","30/06/2016"
"Two and a Half Men: Temporada 6: Acho que você ofendeu o Don","23/06/2016"
"Arrow: Temporada 3: A escalada","23/06/2016"
"Os Vingadores Unidos: O planeta do Destino","18/06/2016"
"Arrow: Temporada 3: Os ousados e os corajosos","17/06/2016"
"Arrow: Temporada 3: Prepare seu arco","16/06/2016"
"Arrow: Temporada 3: Culpado","13/06/2016"
"Appleseed Alpha","12/06/2016"
"Arrow: Temporada 3: O passado secreto de Felicity Smoak","10/06/2016"
"Arrow: Temporada 3: O Mago","09/06/2016"
"Arrow: Temporada 3: Corto Maltese","06/06/2016"
"Os Vingadores Unidos: Destino destruidor","04/06/2016"
"Arrow: Temporada 3: Sara","03/06/2016"
"Arrow: Temporada 3: A calmaria","02/06/2016"
"Arrow: Temporada 2: O impensável","31/05/2016"
"Agentes S.H.I.E.L.D. da Marvel: O poço","31/05/2016"
"Agentes S.H.I.E.L.D. da Marvel: A central","29/05/2016"
"Arrow: Temporada 2: Ruas em chamas","27/05/2016"
" ","27/05/2016"
"Arrow: Temporada 2: Exército de Blood","26/05/2016"
"Agentes S.H.I.E.L.D. da Marvel: F.Z.Z.T","24/05/2016"
"Arrow: Temporada 2: Enfurecidos","23/05/2016"
"Agentes S.H.I.E.L.D. da Marvel: A garota do vestido florido","23/05/2016"
"Agentes S.H.I.E.L.D. da Marvel: Olho espião","22/05/2016"
"Two and a Half Men: Temporada 6: Boca de Pinóquio","21/05/2016"
"Two and a Half Men: Temporada 6: O melhor que o dinheiro pode comprar","21/05/2016"
"Two and a Half Men: Temporada 6: Sempre é a semana dos nazistas","21/05/2016"
"Two and a Half Men: Temporada 6: Inferno","21/05/2016"
"Agentes S.H.I.E.L.D. da Marvel: A carga","21/05/2016"
"Arrow: Temporada 2: O homem sob o capuz","20/05/2016"
"Arrow: Temporada 2: Exterminador","17/05/2016"
"Agentes S.H.I.E.L.D. da Marvel: 0-8-4","17/05/2016"
"Agentes S.H.I.E.L.D. da Marvel: Piloto","15/05/2016"
"Arrow: Temporada 2: Pássaros feridos","13/05/2016"
"Two and a Half Men: Temporada 5: Se meu buraco falasse","12/05/2016"
"Two and a Half Men: Temporada 5: O casamento","12/05/2016"
"Arrow: Temporada 2: Esquadrão Suicida","12/05/2016"
"Arrow: Temporada 2: A promessa","10/05/2016"
"Arrow: Temporada 2: Hora da morte","06/05/2016"
"Two and a Half Men: Temporada 5: Noite difícil","05/05/2016"
"Two and a Half Men: Temporada 5: Tempo contado","05/05/2016"
"Arrow: Temporada 2: Herdeira do demônio","05/05/2016"
"Arrow: Temporada 2: Tremores","03/05/2016"
"Arrow: Temporada 2: Ponto fraco","29/04/2016"
"Arrow: Temporada 2: Raio de explosão","28/04/2016"
"Agente Carter: Despedida","28/04/2016"
"Agente Carter: SNAFU","27/04/2016"
"Arrow: Temporada 2: Três fantasmas","26/04/2016"
"Agente Carter: O erro do pecado","25/04/2016"
"The Ranch: Parte 1: Na minha terra","25/04/2016"
"Roast of Charlie Sheen","24/04/2016"
"Two and a Half Men: Temporada 5: Chegando ao ponto","24/04/2016"
"Agente Carter: O teto de ferro","24/04/2016"
"Arrow: Temporada 2: O cientista","22/04/2016"
"Hora de Aventura: Temporada 3: Morituri Te Salutamus","22/04/2016"
"Hora de Aventura: Temporada 3: Vitória Sobre A Fofura","22/04/2016"
"Agente Carter: O Botão Blitzkrieg","22/04/2016"
"Agente Carter: Tempo e maré","21/04/2016"
"Arrow: Temporada 2: Estado x Rainha","21/04/2016"
"Agente Carter: Ponte e túnel","20/04/2016"
"Two and a Half Men: Temporada 5: Parece necrofilia","19/04/2016"
"Two and a Half Men: Temporada 6: Fecha o bico","19/04/2016"
"Arrow: Temporada 2: Mantenha seus inimigos por perto","18/04/2016"
"Two and a Half Men: Temporada 3: A vila do Papai Noel","18/04/2016"
"Arrow: Temporada 2: Liga dos Assassinos","14/04/2016"
"Two and a Half Men: Temporada 6: Cheirou presunto, ficou excitado","14/04/2016"
"Arrow: Temporada 2: Calvário","11/04/2016"
"Arrow: Temporada 2: Bonecas despedaçadas","08/04/2016"
"Arrow: Temporada 2: Identidade","07/04/2016"
"Arrow: Temporada 2: Cidade de heróis","05/04/2016"
"Agente Carter: O fim não é agora","04/04/2016"
"Arrow: Temporada 1: Sacrifício","01/04/2016"
"Arrow: Temporada 1: Escuridão","31/03/2016"
"Arrow: Temporada 1: A empresa","29/03/2016"
"Arrow: Temporada 1: Invasão","28/03/2016"
"Arrow: Temporada 1: Negócios pendentes","25/03/2016"
"Arrow: Temporada 1: Salvação","22/03/2016"
"Marvel - Demolidor: Temporada 2: Para servir e proteger","22/03/2016"
"Arrow: Temporada 1: O retorno da Caçadora","22/03/2016"
"Jackass 3.5: Sem Censura","18/03/2016"
"The Ridiculous 6","18/03/2016"
"Arrow: Temporada 1: Flagra","15/03/2016"
"Arrow: Temporada 1: Esquiva","08/03/2016"
"Arrow: Temporada 1: A odisseia","07/03/2016"
"Arrow: Temporada 1: Traição","03/03/2016"
"Arrow: Temporada 1: Vertigo","29/02/2016"
"Arrow: Temporada 1: Confie, mas verifique","25/02/2016"
"Arrow: Temporada 1: Incêndio","23/02/2016"
"Arrow: Temporada 1: Fim de ano","18/02/2016"
"Arrow: Temporada 1: Vingança","16/02/2016"
"Arrow: Temporada 1: Musa de fogo","12/02/2016"
"Arrow: Temporada 1: Legado","12/02/2016"
"Arrow: Temporada 1: Danificado","08/02/2016"
"Arrow: Temporada 1: Um homem inocente","05/02/2016"
"Arrow: Temporada 1: Atirador solitário","04/02/2016"
"Arrow: Temporada 1: Honre seu pai","04/02/2016"
"Coragem, o Cão Covarde: Noite Da Toupeira Lobisomem / Dia Das Mães","27/01/2016"
"Coragem, o Cão Covarde: O Demônio Do Colchão / Fred Esquisitão","27/01/2016"
"Coragem, o Cão Covarde: Coragem Encontra O Pé Grande / Cabeça Quente","27/01/2016"
"Arrow: Temporada 1: Piloto","27/01/2016"
"Coragem, o Cão Covarde: A Sombra Do Coragem / Dr.Le Quack Especialista Em Amnésia","26/01/2016"
"Coragem, o Cão Covarde: Uma Noite no Hotel Katz / Ensopado da Vovó","26/01/2016"
"Os Vingadores Unidos: O Protocolo Vingadores: Parte I","26/01/2016"
"Shadowhunters: The Mortal Instruments: Temporada 1: Cálice letal","25/01/2016"
"Truques da Mente: Temporada 2: Ilusão de Ótica","09/01/2016"
"Horas de Desespero","09/01/2016"
"Dragon Blade","04/01/2016"
"Truques da Mente: Temporada 2: Você Decide!","04/01/2016"
"Truques da Mente: Temporada 2: Visão Periférica","04/01/2016"
"Truques da Mente: Temporada 2: O Poder da Persuasão","04/01/2016"
"Debi & Lóide 2","25/12/2015"
"Marvel - Demolidor: Camuflagem","23/11/2015"
"Marvel - Demolidor: Fio da navalha","12/11/2015"
"Marvel - Demolidor: No círculo","08/11/2015"
"Shooting Starlets Musumet: Dye Me as You Like! A Delicate Girlish Heart","10/10/2015"
"Wet Hot American Summer: First Day of Camp: A chegada","02/08/2015"
"The Walking Dead: Temporada 3: O rei suicida","30/05/2015"
"The Walking Dead: Temporada 3: Nascidos para sofrer","28/05/2015"
"The Walking Dead: Temporada 3: Mortos batem à porta","27/05/2015"
"The Walking Dead: Temporada 3: Atormentado","20/05/2015"
"The Walking Dead: Temporada 3: É só falar","14/05/2015"
"The Walking Dead: Temporada 3: O assassino dentro","11/05/2015"
"The Walking Dead: Temporada 3: Vem comigo","06/05/2015"
"The Walking Dead: Temporada 3: Doente","02/05/2015"
"The Walking Dead: Temporada 3: Sementes","01/05/2015"
"The Walking Dead: Temporada 2: Fogueira apagando","01/05/2015"
"The Walking Dead: Temporada 2: Anjos bons","25/04/2015"
"The Walking Dead: Temporada 2: Juiz, júri, carrasco","24/04/2015"
"The Walking Dead: Temporada 2: A 29 km","21/04/2015"
"The Walking Dead: Temporada 2: Dedo no gatilho","19/04/2015"
"The Walking Dead: Temporada 2: Nebraska","19/04/2015"
"The Walking Dead: Temporada 2: Já quase morto","16/04/2015"
"The Walking Dead: Temporada 2: Segredos","13/04/2015"
"The Walking Dead: Temporada 2: Chupa-cabra","12/04/2015"
"As aventuras de Paddington","12/04/2015"
"The Walking Dead: Temporada 2: Rosa cherokee","11/04/2015"
"The Walking Dead: Temporada 2: Última bala","11/04/2015"
"Os Cavaleiros do Zodíaco – A Lenda do Santuário","11/04/2015"
"The Walking Dead: Temporada 2: Sangria","09/04/2015"
"The Walking Dead: Temporada 2: O que vem pela frente","05/04/2015"
"The Walking Dead: Temporada 1: IT-19","07/02/2015"
"Cegos, Surdos e Loucos","25/01/2015"
"Bleach: The Rescue: Morning of the Sentence","25/01/2015"
"Anger Management: Temporada 2: Charlie and Jen Together Again","10/01/2015"
"Anger Management: Temporada 2: Charlie's Dad Breaks Bad","24/12/2014"
"Anger Management: Temporada 2: Charlie and the Ex-Patient","24/12/2014"
"Anger Management: Temporada 2: Charlie's Dad Starts to Lose It","24/12/2014"
"Sword Art Online: O espadachim negro","22/12/2014"
"Harlock: Space Pirate","07/12/2014"
"Sword Art Online: A rena do nariz vermelho","22/11/2014"
"Sword Art Online: Beater","21/11/2014"
"Sword Art Online: O mundo das espadas","21/11/2014"
"Resident Evil – Condenação","16/11/2014"
"Kill la Kill: Um perdedor","12/11/2014"
"Supercampeões: Warriors in the Field","10/11/2014"
"Supercampeões: Genius Juan Diaz!","10/11/2014"
"Supercampeões: Road to a Dream","10/11/2014"
"Kill la Kill: Não brinque comigo","09/11/2014"
"Kill la Kill: Gatilho","08/11/2014"
"Kill la Kill: Uma manhã miserável","04/11/2014"
"Kill la Kill: Junketsu","03/11/2014"
"Kill la Kill: Sensualidade de tirar o fôlego","02/11/2014"
"Anger Management: Temporada 2: Charlie and Catholicism","31/10/2014"
"Kill la Kill: Se eu tivesse espinhos como um cardo","31/10/2014"
"Os cavaleiros do zodíaco Hades: Inferno: O Grande Eclipse!","29/10/2014"
"Os cavaleiros do zodíaco Hades: Inferno: O Caminho para Giudecca","29/10/2014"
"Dragon Ball Z: A Batalha dos Deuses","29/10/2014"
"Ikki Tousen: The Champions","25/10/2014"
"Anger Management: Temporada 2: Charlie Is an Expert Witness","11/10/2014"
"Anger Management: Temporada 2: Charlie and Cee Lo","11/10/2014"
"Anger Management: Temporada 2: Charlie Dates a Teacher","11/10/2014"
"Anger Management: Temporada 2: Charlie and Deception Therapy","11/10/2014"
"Knights of Sidonia: Resolução","10/10/2014"
"Knights of Sidonia: Saudações","10/10/2014"
"The Walking Dead: Temporada 1: Wildfire","05/10/2014"
"The Walking Dead: Temporada 1: Hermanos","05/10/2014"
"The Walking Dead: Temporada 1: Vá falar com sapos","05/10/2014"
"Sword Art Online: Vingador imaginário","05/10/2014"
"Knights of Sidonia: À deriva","05/10/2014"
"The Walking Dead: Temporada 1: Entranhas","04/10/2014"
"The Walking Dead: Temporada 1: Adeus, passado","03/10/2014"
"Jackass 3","03/10/2014"
